Text,User Name,Gender,Agree,Disagree,IP Address
今天楼主硬气了一次，放下了喜欢了15年的女生,,Gender.MALE,666,1,湖北
第一次发帖，首先该行什么礼来的,,Gender.MALE,125,0,湖北
我教你，首先，用你的小手手握住小吉吉。来，跟我一起做，一二三四五六七八，二二三四五六七八。,红酒灌红包,Gender.UNKNOWN,0,0,
我教你，首先，用你的小手手握住小吉吉  。来，跟我一起做，一二三四五六七八  ，二二三四五六七八  。,王圣_阳明,Gender.UNKNOWN,0,0,
粗来了,嚯572762,Gender.UNKNOWN,0,0,
我教你，首先，用你的小手手握住小吉吉  。来，跟我一起做，一二三四五六七八  ，二二三四五六七八  。,,Gender.UNKNOWN,0,0,
借楼，唧唧歪歪的，一直让人家单删你，你给他删了不就行了？一直在这装什么深情呢？真的喜欢她不会线下表白？,王仙座,Gender.UNKNOWN,0,0,
借楼，唧唧歪歪的，一直让人家单删你，你给他删了不就行了？一直在这装什么深情呢？真的喜欢她不会线下表白？,陪伴壹笙,Gender.UNKNOWN,0,0,
确实,EdwardSiE,Gender.UNKNOWN,0,0,
快码加编,1来找资源的,Gender.UNKNOWN,0,0,
打个交先,开心最重要208,Gender.MALE,13,0,河北
3,,Gender.UNKNOWN,0,0,
3,liang05275558,Gender.UNKNOWN,0,0,
3,,Gender.UNKNOWN,0,0,
女生喜欢你的几个暗示：1 .怎么约都约不出来：因为她担心自己实际的样子不够完美，怕被你讨厌而失去你 2 .已读不回：因为害羞而内心有过多小剧场，到处去问闺蜜们，你这样说到底有没有喜欢她的意思 3 .私下跟朋友说你很恶心：想让她的朋友跟潜在情敌疏远你，进而占有你,,Gender.UNKNOWN,0,0,
4 .被删好友：暗示彼此不只是朋友 5.拉黑你：怕控制不了自己的情感而陷入太深，只好忍痛把你拉黑 6 .遭受拒绝：女生第一句不是真心话，她只是想多听听你的告白,,Gender.UNKNOWN,0,0,
我们喜欢看🤡是来找乐子的，你这个乐子我们看不出来在哪里。,TLTSTT,Gender.UNKNOWN,0,0,
集贸朋友，哪个朋友连微信都没了，还朋友呢,星际芒果冰,Gender.UNKNOWN,0,0,
大家有什么想问的随便问吧,,Gender.MALE,56,0,湖北
小丑，她的点就是不喜欢你，遇上喜欢的人不会怕麻烦，这都是借口罢了，别骗自己,Angso洛伦兹力,Gender.UNKNOWN,0,0,
