Text,User ID,User Name,Nick Name New,IP Address
青梅竹马要被捷足先登了,3099428093,asd17600563049,吕煜,河北
我去，怎么办啊,3099428093,asd17600563049,吕煜,河北
兄弟们支支招,3099428093,asd17600563049,吕煜,河北
那个什么lwx我俩都认识，老烂蔻丹了，她还颠颠的觉得挺好，怎么办啊家人们,3099428093,asd17600563049,吕煜,河北
我暗恋了三年，这下我蚌埠住辣,3099428093,asd17600563049,吕煜,河北
舔狗里的常青树，joker里的顶梁柱，麦当劳的吉祥物，哥谭镇的大头目，扑克牌的最大数，蝙蝠侠的大客户，备胎里的南波兔，黑名单里有房住，现实世界落魄户，沸羊羊都无语住，🤡的回答总是还会再爱🤡的下次总是一样失败🤡的成功总是从不存在🤡的故事总是大有人在🤡的出场总是千奇百怪🤡的退场总是相同姿态🤡的失败总是毫无意外🤡的传承总是千秋万代,4809914335,Hellowordtest0, 好活,广东
冲了,3099428093,asd17600563049,吕煜,河北
急死我了,3099428093,asd17600563049,吕煜,河北
林炜翔,207804905,洛离茚,洛离茚,广东
狠狠地A上去看她反应,5920442087,Mob_67,拣尽南枝qwq,山东
权衡利弊了是吧，等着薄纱她,3099428093,asd17600563049,吕煜,河北
放开她,4047916216,aabbccddeelkj,㊗️祝君好😘❤️,广东
快点快点，不拿下就等着看你青梅竹马变成别人的镜盆吧,2346859438,墓光之力,墓光之力,天津
既然喜欢她那就冲啊，反正不冲也要跟别人跑了，成没成都不亏，直接来句与其跟他交往还不如跟爷a就完事了,1974874018,黑濑森,黑濑森,湖南
cy,922032653,Smle丶风度,伤心蛋挞-,江苏
不是哥们，你在这里演霸总呢,6516876580,,贴吧用户_J7JC44a,湖北
你也a上去,833770355,有故事的瞎子o,-有故事的瞎子,天津
别挣扎了青梅竹马注定走不到一起去的,404408153,名字短了不显眼,名字短了不显眼,芬兰
自挂东南枝,5867107778,,贴吧用户_G9N4D97,山东
GK D,5253412292,qg7523,QG3069,浙江
"lz怎么还不更新，这么慢,就像你们的爱情一样
并未在一起亦无从离弃，
不用沦为伴侣，
别寻是惹非，
随时能欢喜亦随时嫌弃，
这样遗憾或者更完美。",755382755,skrGiaoGiao,写法典的汉谟拉比,重庆
gkdgkd,6508659100,旺仔i小裤头,孤岛岛主,山东
然后呢,5707111073,抽象话术师,小玉挚友,山东
小丑了,1313352026,放下气质当你爹,纯路人理中客,四川
好好好,2496930730,是辰阳a,╭非凡公子╮,上海
看来lz要寄了,4047916216,aabbccddeelkj,㊗️祝君好😘❤️,广东
急急急急急,609894389,吾乃昊哥,蛋蛋里的蛋蛋Ω,福建
林伟翔是吧,1481367971,HelaYJ,Loyal-2004,陕西
赶上直播了,6511624896,不吃柠檬派,不吃柠檬派,安徽
别看了，lz已经寄了,4349048607,嫣红的清跌,昼鸢☀️,江西
lz成功了没,6576407608,顶针的垫子烟,狂野的足球射进球门,新西兰
已经说了感觉和你们说的不一样，那就已经准备要和别人谈了，只是想找一个更能说服自己的理由罢了，她其实已经有了选择，你又何必当小丑呢,6609188746,喊我魔法披风,喊我魔法披风,四川
速更,1705244984,儒雅的王冠丶,儒雅的王冠丶,福建
赶上直播了,1274472268,特同于讨论组童,特同于讨论组童,湖北
cy,6332702361,,贴吧用户_G3eteXK,浙江
完了，青梅爱上黄毛，要小丑了,6342185405,zjusidious,金笔镶钻,浙江
LZ这么久没回复，应该是G了,609894389,吾乃昊哥,蛋蛋里的蛋蛋Ω,福建
