Text,User ID,User Name,Nick Name New,IP Address
一个学生买我显卡没走平台直接给我转账了，楼下细🔒,4738560949,楊如画,楊如画,福建
1,4738560949,楊如画,楊如画,福建
事情是这样的，楼🐷前几天在🐟上发布了一张卡，这个应该是个高中生兼职赚钱在配电脑，于是他要了楼🐷的微信，可没想到直接给楼🐷转账了,4738560949,楊如画,楊如画,福建
如果换做大家会怎么做,4738560949,楊如画,楊如画,福建
人在做天在看,128728689,wawahanxu110,💯男子汉大肚子,四川
还好是遇到了我，给小伙子发货了没有想象中的收款拉黑删除一套三连,4738560949,楊如画,楊如画,福建
因为楼🐷是99年的，以前刚出社会的时候被骗过，这几年加起来一共被骗了有两个馒头了差不多，所以楼🐷也是很苦口婆心劝告这个学生，害人之心不可有，防人之心不可无，也许这就是自己淋过雨也想给别人撑把伞吧,4738560949,楊如画,楊如画,福建
这个小伙子也是第一次配电脑，我看了一眼他挑选的配件，问题很大啊,4738560949,楊如画,楊如画,福建
所以楼🐷后续也教他怎么去挑选配件，给他推荐了很多，截图太多就不放出来了，希望有能看到我帖子的小白也能记住我的话，交易一定要走平台,4738560949,楊如画,楊如画,福建
楼主做的对换我我也和楼主一样选择,2411291998,灯火阑珊且未央,黑贞德💖,上海
他运气好，还好碰见楼主了,1592249923,夏日塔卡,夏日塔卡,广西
你一定要发大财啊,769521147,神LOLErz,梅振衣,四川
你一定会发大财,1059188678,蘭鎏,腌黄瓜先生✆,广东
没啥可说的，点个赞吧。楼主好人长命百岁！,658915637,L阿O森V纳E_CES,L阿O森V纳E_CES,北京
楼主好人,691695858,鬼谷欲发言人,鬼谷欲发言人,吉林
楼主 鱼上出二手 包邮寄走的话靠谱吗 想把2手的3060ti还有5800x板u套出掉 自提不方便 想干脆包邮寄出 但是看到很多人说邮寄风险大,853511607,回来再说丶,迷心咒💧,广东
好人一生平安,17596401817750,scorpions1997,scorpions1997,江苏
之前在卡吧卖手机，也是有个人直接zfb转钱给我，那时候我还在读大学，也是直接给他发货了,442111742,zd819199957,dottt😈,广东
好人一生平安,207253291,獨噯錂楓,獨噯錂楓,河南
楼主做得对,745708232,hogtail666,hogtail666,北京
有时候跟没出社会的学生沟通交流一番，能感觉到很单纯的感觉，那也是你曾经遗失的，2个不同的位置的人交流有种别样的感觉,812961851,混怒D小鸟,带带大师兄^_^,广东
我们都变成了爱讲大道理的大人,155551888,30842998,阿尔法沙发上,广西
你做的好啊,2081982831,鉁樹笉杩囧垎,不丶过分ლ,江苏
你直接一套收款拉黑删除，发完货再把他加回来，他一定会成长的,2242313373,中国逗B协会,自由的信徒,辽宁
看他配件买的都是便宜的，竟然还直接把950转给你，唉，这要是被其他人拉黑删除多难受，代他谢谢楼主了,908494329,Kovsyi,Nxkkz,上海
楼主你一定要身体健康发大财啊,2954296567,真宗席子2,真宗席子2,湖北
瑞思拜,1805101127,Max_Phone__,伊文道夫,广东
咸鱼我也碰见过，走私下支付，不过就几十块的东西，你这个面额还不小,3166947613,取个名真难816,芝士•猞猁,河南
如果真的收款拉黑人家可以报警吗,699328756,股市游击队长,股市游击队长,上海
楼主你一定要身体健康发大财啊,2949870355,吾之犬二郎也,失控的疯子呀😄,广西
一句“我相信你”，这小伙子以后还有吃大亏的时候,852231043,Life水电工大叔,Life水电工大叔,广东
楼主好人，但是不一定能次次碰到好人。 防人之心不可无,4057849587,天桥贴膜弥师傅,天桥贴膜弥师傅,四川
TMD这是哪里来的好人，,48529895,IP——DANG,IP——DANG,广东
这也来秀一下。我以前没有咸鱼的时候。QQ群里买卖东西不都是先把钱打过来的么,176773814,洒脱人生e,洒脱人生e,广东
而你才是真正得牛爷爷,1623576154,faker做事情,柴柴美少女🍺,广东
得先拉黑吓唬一下，不然不长记性,2140350186,爱了绕啊绕,-白隽-,广东
好人,2124539653,,贴吧用户_QCt5KEG,广东
好人一生平安,956235550,可爱的正儿八经,十三🐨,河北
楼主好人，发大财。,1267821101,我不是权志龙i,我不是权志龙i,广东
可能没支付宝吧。,4323744936,bangbang090317,我是谁？皮可裘,上海
祝你一生平安,1357999148,淡忘_____那伤,T.Purifier,山东
这才是显卡吧该有的帖子日常那些妖魔鬼怪发的都是什么啊,6359691454,,贴吧用户_GD27UGy,江苏
楼主我爱你,263096707,迪塔多,link麻王哒,江西
你是好人 奖励你一个mua,2951373750,丿爱她的他,一根大杆◎烟,浙江
楼主一定发大财,2356023939,x1204732669,惊夏,江苏
正确的,1590017183,陈泽林泽林,陈泽林泽林,广东
看你良心了 如果良心不好不给他寄显卡然后拉黑,912169959,zz不要说,zz不要说,四川
正道的光,1904182933,mank999,mank999,内蒙古
楼主好人，希望你这种人多一点,17596388107200,sadasdasdasdmt,吃喝不愁-的,北京
楼主好人,739970614,复仇之骑,贝拉只为我亮✨,四川
"这样搞的生意做的 都很大，
前20多年前，有种物品，一单就要30万，，第一次合作，上家直接打过来。
前几单都没问题，，最后一单，发货人收了钱失踪了，，下单那个人，听说后，
就笑了一下。",63873658,滕州表哥,滕州表哥,山东
好人一生平安,913632065,乔克叔叔wade,猪猪侠💤💤💤,浙江
好人一胎十八罗汉,3320631482,我有恶女啊,王封,广东
我也是 卖电脑好多人 直接微信我转几千 几万。。 其实还是最好走鱼什么的平台 安全第一,112007438,zhuzhoulun,☞明明不念旧☜,浙江
好人，那天来成都了给我说，我开好放洗好pg替他感谢你,5588761073,牟捏牛,天天爱上下卢东棍壮物,四川
好人一生平安！,1317389196,呵呵呵呃啊,呵呵呵呃啊,江苏
好,1728374163,混子不混_,擎天柱◎º,湖北
啊？你没有让他买个教训？,157932415,ED坏死Man,ED坏死Man,福建
删了再把他加回来，让他长长教训,17596415725763,小白鼠家的H2O,小白鼠家的H2O,贵州
正道的光,6334085309,钩巴显卡,闭麦吧雪豹,广东
如果你拉黑了，他去找警察叔叔，警察叔叔会给你打电话的,813410124,鉮秘X,月亮与西,福建
别人要买我电脑，1400要直接转我，我给他拒绝了不卖给他是个退伍哥们，我觉得我的电脑不适合他用，我的电脑有点老了小毛病多，他说没事。我不让他买我的让他选更好的去了。,194887491,Jxrsbzz,Jxr,江苏
2024楼主发大财,104689896,Maesodeno,等待🌞艾尔登,江西
