Text,User ID,User Name,Nick Name New,IP Address
这样的小米很难让人不支持,1266141748,空城丶一一,凡事过往℃,安徽
"大家叫粉丝经济或者叫米粉
有很多政府的团经常到小米来参观我讲到这里他们死活听不懂
我后来说了一种方式
我说这就是群众路线
我说就是相信群众依赖群众
从群众中来到群众中去
他们说这个讲得好",1266141748,空城丶一一,凡事过往℃,安徽
没见那个说这句话的人会塞90多亿进自己口袋,2494217960,望伊珍重,路过打扰了🌟,广东
楼主还是亮出你的小米全家桶来看看吧。不要领了工资还支持友商哦！,995969289,半山nice,半山nice,广西
那能够把2018年p 2 p卷跑的几百个亿，积木盒子，这些钱还给群众吗？这些坑了多少米粉，让了多少忠实的粉丝倾家荡产,1950413624,mmm雨过晴天,柠檬很甜吧,贵州
宗教洗脑营销式的“”粉丝经济”？,2874018782,hfjhdgnn,雨田恩情糇还不完,湖北
宗教一样营销，最恶心的就是猴子们，把市场搞的乌烟瘴气,2178338362,我不是地表最强,我不是地表最强,河北
最近这些猴子闹哪出？雷不群要跑了吗？,3051537868,,贴吧用户_78yG29U,陕西
冖王的意思是它接待的那些团智商有缺陷？经常来还听不懂？,4091341979,,贴吧用户_5KDKNaN,上海
这话本来就是雷总先说的，higo别急,1101154205,继续15年,继续15年,山西
看不懂说的什么？,1288410818,冷雨心霏77,冷雨心霏77,广东
su7的定价是不是已经脱离群众了啊。明显比亚迪，五菱的车型更适合百姓,500952413,紊炎,紊炎,四川
又发圣经啦,6032636027,,贴吧用户_GbKG95N,广东
米粉的脑子都有问题，这是把雷军架在火上烤，捧杀他吗？,1365846831,俺的天丫,俺的天丫,浙江
我相信雷总！ 重修花果山，复整水帘洞，齐天大圣！威武威武～～～,2026692257,amblin_xi,amblin,广东
应该是屌丝路线吧,664387733,j_sonic,j_sonic,江苏
宗教公司,6337759350,广州熱不熱,Gzcar,广东
这么吹是生怕他死的不够快是吗？,1089620225,iwonttellyou11,iwonttellyou11,加拿大
买个小米网络摄像头，APP上来就弹广告，反映好多次，问候雷军他奶奶很多车毫无回应，小米也不要个脸了，以后坚决不买任何小米的东西,325393070,大庆和肇东哪好,开心失乐园♬,黑龙江
什么身份敢说这话啊,997570134,节操喂狗吃,等一个顿口👀,浙江
雷总这话深刻啊,6619766534,多喝点开水就行,多喝点开水就行,河南
这是反串吧，,6600160227,龙年长风万里,龙年长风万里,重庆
营销公司真榻🐴恶心！,6302404929,云台山铁匠,云台山铁匠,湖南
畜牧业都能扯群众路线,1315682674,我为万载晴空,我为万载晴空,浙江
我觉得这个可以拍成小品，雷不群一边说着上面的台词，一边往兜里装99亿，别问为什么，问就是不知情。,152855924,达庶,达庶,广东
一个正常人花更少的钱买更好的东西，这个是正常思维。但是如果有人花更多的钱去买一些质量更差性能更差溢价高的东西，无非两种可能，一种是有钱不在乎，另外一种就是宗教信仰加成！猜猜谁才是真正的宗教,1048011643,爆菊火炮兰,最熟悉的路人🍁,重庆
"《群众》
那统计局这一阵统计的数据是咋出来的啊
大道本无幻，絃琴自有魔。人皆迷著此，吾独病如何。",627514107,漠月噤声,优婆罗陀,北京
新时代的买办阶级，这种人就应该万劫不复,746961731,君临长生界,君临长生界,浙江
真是对这句话的侮辱，雷🐶我🌿您🐴,775783861,heaven青云110,贰柒💯,湖南
还是老一套，意思是谁最好骗骗谁呗。,2907290176,远离颠倒尘世,远离颠倒尘世,浙江
这就是你们所支持的雨田君,923132860,卓兹德黑鸟,卓兹德黑鸟,上海
没有设计就是最好的设计。说的太好了,645559227,nice发猫的老虎,放风筝的人🍁,浙江
