时间,文本,识别结果,消极概率,积极概率,IP地址
2024-04-23,讲一句实话xxn就集体高朝了,积极,0.08,0.92,广东
2024-04-23,"xxn真是一破防就开始攻击长相了捏
就算这女生长得一般，但就这三观比上面那些女的好一万倍
在全是乌鸦的世界，一只白天鹅存在本身就是错误的
一群乌鸦是容不下一只白天鹅的存在
属实是不如牵丝戏的东西
桃宝搜 牵丝戏
谨防假冒（主页有真假辨别贴）",消极,0.94,0.06,广东
2024-04-23,人家全程没说一句女性，为什么她们？,消极,0.97,0.03,广西
2024-04-23,这女生长得也不丑呀，wb底下这些攻击人长相的敢晒自己的照片吗？,消极,0.98,0.02,湖南
2024-04-23,哄你俩句还就护上了,积极,0.4,0.6,重庆
2024-04-23,虎式坦克们闹麻了，自己什么体重心里没数还骂别人。别人怎么样也比它们更符合人类审美,消极,0.98,0.02,广东
2024-04-23,beyond，看见光了就想把灯咬烂是吧，你是还是我是鼠鼠,积极,0.25,0.75,广西
2024-04-23,这些➗省还急眼了,积极,0.1,0.9,湖南
2024-04-23,快去找鼓！！！,积极,0.2,0.8,四川
2024-04-23,"先不谈男女，就一句话，
这帮女的内讧是比谁都快呀",积极,0.15,0.85,广东
2024-04-23,还是有正常女性的…要我说太过女泉的人反而是极度自卑的体现吧,积极,0.11,0.89,
2024-04-23,婚姻的本质不就是相互扶持着生活吗,消极,0.7,0.3,江西
2024-04-23,只有女人对待女人是最恶毒的,积极,0.39,0.61,河南
2024-04-23,保护,积极,0.07,0.93,江苏
2024-04-23,很显然xxn们害怕正常的年轻的00后抢了自己的利益,积极,0.1,0.9,广东
2024-04-23,现在的人观念到底怎么了。还是喜欢老一辈的互相扶持。现在就是选择多了 给能耐的 有感情的话物质条件再差也会想办法让彼此生活更好的,消极,1.0,0.0,上海
2024-04-23,girls help girl,消极,0.89,0.11,山东
2024-04-23,这种我一般不看直接骂,消极,0.97,0.03,吉林
2024-04-23,这种女大学生能不能普及一下,积极,0.31,0.69,吉林
