文本,识别结果,消极概率,积极概率,支持,反对,IP地址,评论者性别
今天楼主硬气了一次，放下了喜欢了15年的女生,积极,0.34,0.66,666,1,湖北,Gender.MALE
第一次发帖，首先该行什么礼来的,中性,0.41,0.59,125,0,湖北,Gender.MALE
我教你，首先，用你的小手手握住小吉吉。来，跟我一起做，一二三四五六七八，二二三四五六七八。,积极,0.27,0.73,0,0,,Gender.UNKNOWN
我教你，首先，用你的小手手握住小吉吉  。来，跟我一起做，一二三四五六七八  ，二二三四五六七八  。,积极,0.28,0.72,0,0,,Gender.UNKNOWN
粗来了,积极,0.19,0.81,0,0,,Gender.UNKNOWN
我教你，首先，用你的小手手握住小吉吉  。来，跟我一起做，一二三四五六七八  ，二二三四五六七八  。,积极,0.28,0.72,0,0,,Gender.UNKNOWN
借楼，唧唧歪歪的，一直让人家单删你，你给他删了不就行了？一直在这装什么深情呢？真的喜欢她不会线下表白？,消极,0.78,0.22,0,0,,Gender.UNKNOWN
借楼，唧唧歪歪的，一直让人家单删你，你给他删了不就行了？一直在这装什么深情呢？真的喜欢她不会线下表白？,消极,0.78,0.22,0,0,,Gender.UNKNOWN
确实,积极,0.28,0.72,0,0,,Gender.UNKNOWN
快码加编,积极,0.21,0.79,0,0,,Gender.UNKNOWN
打个交先,中性,0.6,0.4,13,0,河北,Gender.MALE
3,积极,0.25,0.75,0,0,,Gender.UNKNOWN
3,积极,0.25,0.75,0,0,,Gender.UNKNOWN
3,积极,0.25,0.75,0,0,,Gender.UNKNOWN
女生喜欢你的几个暗示：1 .怎么约都约不出来：因为她担心自己实际的样子不够完美，怕被你讨厌而失去你 2 .已读不回：因为害羞而内心有过多小剧场，到处去问闺蜜们，你这样说到底有没有喜欢她的意思 3 .私下跟朋友说你很恶心：想让她的朋友跟潜在情敌疏远你，进而占有你,消极,0.83,0.17,0,0,,Gender.UNKNOWN
4 .被删好友：暗示彼此不只是朋友 5.拉黑你：怕控制不了自己的情感而陷入太深，只好忍痛把你拉黑 6 .遭受拒绝：女生第一句不是真心话，她只是想多听听你的告白,消极,0.96,0.04,0,0,,Gender.UNKNOWN
我们喜欢看🤡是来找乐子的，你这个乐子我们看不出来在哪里。,积极,0.31,0.69,0,0,,Gender.UNKNOWN
集贸朋友，哪个朋友连微信都没了，还朋友呢,消极,0.76,0.24,0,0,,Gender.UNKNOWN
大家有什么想问的随便问吧,消极,0.7,0.3,56,0,湖北,Gender.MALE
小丑，她的点就是不喜欢你，遇上喜欢的人不会怕麻烦，这都是借口罢了，别骗自己,消极,0.7,0.3,0,0,,Gender.UNKNOWN
命里有时终须有，命里无时莫强求,消极,0.77,0.23,0,0,,Gender.UNKNOWN
什么“出了大学就没有爱情”，说得好像你把她当备胎似的,中性,0.59,0.41,0,0,,Gender.UNKNOWN
你是真的🤡，人家就是不喜欢你，不是爱情看得淡,积极,0.2,0.8,0,0,,Gender.UNKNOWN
她是楼主的第一个小学同桌,中性,0.49,0.51,45,0,湖北,Gender.MALE
小学就犯劈隠？,中性,0.5,0.5,0,0,,Gender.UNKNOWN
大学都读完了还想着小学同学？你就不能找个大学同学？,中性,0.36,0.64,0,0,,Gender.UNKNOWN
小学在课堂导,中性,0.41,0.59,0,0,,Gender.UNKNOWN
楼主22,积极,0.33,0.67,0,0,,Gender.UNKNOWN
第一次发帖就没人，蛋鸡贴吧,消极,0.82,0.18,18,0,湖北,Gender.MALE
是这样的，先生，后面忘了,中性,0.57,0.43,0,0,,Gender.UNKNOWN
不会下联机版？,中性,0.48,0.52,0,0,,Gender.UNKNOWN
不回旺季再来,积极,0.22,0.78,0,0,,Gender.UNKNOWN
不会买肉鸡？,中性,0.63,0.37,0,0,,Gender.UNKNOWN
最近春天到了，楼主不想再培养感情了于是发起猛烈的进攻,消极,0.93,0.07,25,0,湖北,Gender.MALE
直说，匹瘾犯了,中性,0.39,0.61,0,0,,Gender.UNKNOWN
速度啊？,中性,0.4,0.6,0,0,,Gender.UNKNOWN
速度啊？,中性,0.4,0.6,0,0,,Gender.UNKNOWN
渴望当小丑了,消极,0.67,0.33,0,0,,Gender.UNKNOWN
3,积极,0.25,0.75,0,0,,Gender.UNKNOWN
3,积极,0.25,0.75,0,0,,Gender.UNKNOWN
