时间,文本,识别结果,消极概率,积极概率,IP地址
2024-04-23,"我看这个讨论声之形的帖子，很多人甚至无法接受这种受害者原谅加害者的价值观本身，无论加害者做出什么都不值得被原谅，那我挺好奇，这样如何看待俄罗斯小说《复活》
大概讲解一下复活剧情，男主贵族青年聂赫留朵夫，在乡下庄园强健女仆玛丝洛娃，致其怀孕再赶出家门三连，留多夫付了100卢布，他还觉得非常自豪，这都算给多了，玛丝洛娃被赶出家门以后，受尽屈辱，蹂躏，沦为继女，而这一切都是因为聂赫留朵夫的心血来潮，最终十年后，玛丝洛娃被诬陷上了法庭，审判她的人就包括男主留多夫，留多夫在看到女主如此凄惨以后，良心发现，开始全力帮助女主脱罪，女主面对着这个觉醒的昔日仇人，也真正爱上了男主，并因为他的赎罪，原谅了他，男主为了赎罪表示愿意娶女主，女主却因为自己曾经是继女感到自卑，配不上男主拒绝了
最终女主终于接受了自己悲惨的过去，和男二西蒙松结婚了，而男主也经历了良心的发现，灵魂的洗涤，男女主一同完成了精神上的“复活”，我挺好奇的，这怎么看待这种价值观？",消极,1.0,0.0,江苏
2024-04-23,顺便一提，男主留多夫面对男二西蒙松愿意娶女主玛丝洛娃的反应是这样的，男主认为他害玛丝洛娃如此凄惨，所以他娶沦为继女的玛丝洛娃是一种自我牺牲，非常高尚，但是西蒙松没有害过玛丝洛娃，却还愿意娶玛丝洛娃，这让他的崇高牺牲显得一文不值,积极,0.24,0.76,江苏
2024-04-23,"如果单看你这干巴巴的文字描述，这剧情铁定要被骂
当然不排除完整看完，在铺垫充足的情况下，能够接受的可能",消极,0.97,0.03,上海
2024-04-23,声之形就是后悔流反转个性别，写不好是作者的功力问题,消极,0.94,0.06,广东
2024-04-23,我觉得情节本身没问题，要看作者的处理能力，包括剧情编排，文笔等等，重点在于能不能让读者觉得这个加害者有没有真正意识到错误，有没有尽力弥补错误，有没有悔恨，如果写不好就是作者自我感动，写得好就是复活里的男主重获新生,消极,1.0,0.0,江苏
2024-04-23,看得下去就看，受不了就滚蛋，我之前编辑告诉我对读者的态度应该是这样,消极,0.97,0.03,上海
2024-04-23,顺便一提，以前起点吧有人拿复活剧情概述发到主楼，但是没说什么作品，男女主名字也没打，喷了半天，甚至一堆人说这肯定只有日本人写得出来，然后才有人认出来，说这不就是托尔斯泰写的复活吗，差点终结话题,消极,0.96,0.04,江苏
2024-04-23,可以接受男主不死，但是别跟女主在一起，最支持黄毛的一集,中性,0.57,0.43,中国香港
2024-04-23,浪客剑心追忆篇？,消极,0.94,0.06,四川
2024-04-23,不知道，反正我看欺凌道里白海皇对男主的重女行为也没谁在乎,消极,0.95,0.05,吉林
2024-04-23,"首先只有受害者有原谅权
其他人没资格劝受害者原谅",消极,0.88,0.12,浙江
2024-04-23,强上哪一段我记得有暗示过女主半推半就吧？还是说那只是男主的臆想？,中性,0.48,0.52,江苏
2024-04-23,"听这个描述和悲惨的欺凌者完全就不是一个情况不能一概讨论
按正常80流程走比较好，爱上80者不管怎么说都过于抽象",消极,1.0,0.0,湖北
2024-04-23,我知道这些作品想讲的是什么，但对现在的人来说不需要了，现在的人需要的是在一开始就把这个qj犯判刑的作品,消极,0.99,0.01,湖南
