文本,识别结果,消极概率,积极概率,支持,反对,IP地址,评论者性别
"首先我对这个群体的定义就是，与其说他们是厚古薄今，倒不如说是为了自己的青春去诋毁别人青春。
比如看到伪娘，以前是二次元三次元分开的。伪娘cos是2.5次元，女装子是三次元。看着伪娘变成女装大佬，变成男娘。最后二三次元混合在一起，当时觉得时代变了。当时想说点啥，不过后来想想我都退圈了。还是多睡觉保命吧。
我的堂弟看到我就会跟我聊初中的事情，但那时我也会随便应付一下。但现在我不装了，我觉得都过去很多年了，别浪费我时间 以前的事情让他彻底过去吧。
时间过得好快，我已经忘了很多经典的东西。比如声优钉宫理惠，花泽香菜。唱见柿姐96猫等等。以至于入坑番也忘了。
那些喊着业界要完的人，估计已经很久没看新番了吧。可能他们内心重视的老番也看不下去了吧。毕竟看了很多次了。
说个自身经历，游戏从黑白掌机→红白机→网游→街机厅→单机游戏→3A游戏。
我小时候很喜欢红白机，以至于我买了个手柄在电脑玩的时候发现玩不下去。就把手柄送人了。后面我回忆又在欺骗我，搞得我买了个手柄，结果又送人了。
所以后面我发现，如果我老是玩着一个游戏。那我就是靠着肌肉记忆玩游戏，但这种游戏模式虽然会让时间过得很快。但会失去游戏兴趣。
这里直接点名网易魔兽争霸平台的那些地图，基本大多数都是刷刷刷，同质化的游戏。这样会获得成就感，让时间过得快点。
现在我在等老头环dlc，我已经500小时了。该打的差不多打完了。dlc出完我的旅途也彻底结束了。
前天晚上，和别人喝酒。被人说在熟悉的环境待久了，就会被环境改变。要试着自己改变环境。
对方说，如果一个人待在雪山。看着白茫茫一片。又没指南针，那唯一的办法是什么呢？
那就是往前走，要么就冻死在这座雪山上。
他说我变得有些像有孩子的家长那么固执，老是喜欢留在熟悉的环境。我在老头环的世界待久了，打算六月dlc打完就离开吧。
老实说，我以前是火影迷。不过这些年不怎么看了。没有别的，就算火影是我的青春，我觉得博人传看不下去就是看不下去。
犬夜叉是我的青春，夜叉姬看不下去就是看不下去。
当初看金光布袋戏热泪盈眶，但后面发现他越做越烂然后扔掉这个又臭又长的裹脚布。
如今游戏王我也基本退坑，退坑原因是工作太忙。每天上班12个小时，还要去花那么多时间研究pvp。况且我这里没啥卡店。
虽然有人说游戏王怎么不好，但时代变了。 旧系统卡组打不了就是打不了。科乐美不会为了你的青春而放弃赚钱。所以那些说游戏王怎么不好的，估计也已经是一些不打牌的人了吧。
接触过动漫，游戏，cos。不过我觉得还想继续走下去，只能接触新事物，改变一下自己的环境。",消极,1.0,0.0,177,2,广东,Gender.MALE
二楼自己,消极,0.63,0.37,1,0,广东,Gender.MALE
"意義深遠
確實這些爭論, 也是以一種形式在懷念過往吧, 特別是爭論的作品集中在完結許久的作品時.
往前走有時也不容易, 畢竟Childhood's End嘛, 有時候就是跨過檻也不一定有收穫, 反而會孑然一身. 但畢竟跨過第一次就能跨第二次, 感覺還是要追下去才有重新圓夢, 結識新的良作的機會.",积极,0.08,0.92,64,0,中国台湾,Gender.MALE
"二次元遗老也是分种类的，不可一概而论。
说起来，前些天nga有个贴说那些看不上美少女要素的遗老还算不算宅。
怎么说呢，就哥们零几年入宅那会儿，主流宅宅还都是喜欢相对较硬的大男主故事的，经常拷打被他们冠以萌豚蔑称的人群。
时光流转，如今喜欢美少女的人群成了国内宅宅中的主流，以前的这批人反倒还要被开除宅籍了。",消极,0.99,0.01,99,0,浙江,Gender.MALE
差不多就是这样，大部分遗老就是即不关注后续又要炫资历，但炫资历又会暴露自己什么都不懂，于是开始贬低没了解过的后续剧情再捧一波以前自己看过的剧情，完美把自己切割出去,消极,1.0,0.0,69,0,北京,Gender.MALE
脑中自动播放little dark age,消极,0.81,0.19,2,0,英国,Gender.UNKNOWN
我只觉得现在没有圣痕炼金士出包王女恶魔高校那种番了,中性,0.41,0.59,27,0,陕西,Gender.MALE
"摆年龄
炫资历嘛
20年前是这样
20年后也是这样",消极,0.99,0.01,45,0,,Gender.MALE
从罪恶王冠追到今天的季度动画，是真的能明显感觉制作越来越不稳定旱涝差距大还有剧本故事越来越烂的，巨人食尸鬼破圈我能理解毕竟制作在那设定够新够好剧情整体看下来也没什么大问题，但轮到鬼灭咒术的时候我是真的难绷。因为我看动画之前会去先看漫画，甚至小埋动画化前一年我就开始感觉这死小孩怎么那么烦人，而鬼灭跟咒术这俩我是看完死神之后看的漫画，第一反应甚至不是为什么能火而是这种东西也配浪费钱跟资源动画化？中长篇动画从驱魔少年到妖精的尾巴再到五叶草，观感也都是慢慢下降的。现在的一大堆“填线”动画论作画剧情甚至战斗被99年左右的魔卡樱爆杀，长篇作者除了尾田也一个接一个没活，之前jump妥协前条约请的是富坚义博，现在居然需要这样来请酒保来撑场面，更加可悲的是光看漫画除了他跟尾田现在还真就是一群臭鱼烂虾，超酒保都超不明白的jjxx居然是目前最热门动画的原作者,消极,1.0,0.0,17,0,上海,Gender.UNKNOWN
"还真是。
可能人会慢慢变得不愿意接触新鲜事物？
所以我现在一直让自己去体验点新鲜东西。看不同种类的各种剧，完不同种类的游戏，去不同的餐厅，扩展新的爱好，以免产生思维僵化",消极,1.0,0.0,17,0,加拿大,Gender.MALE
焦虑这么多干啥，本质就是爱好罢了,消极,0.67,0.33,12,0,海南,Gender.MALE
厚古薄今是一个久远的不良传统,消极,0.96,0.04,9,0,山西,Gender.UNKNOWN
"遗老多久算老，十年？二十年？更多人是在自己的年代见识了属于自己的故事，见证了属于自己时代的传奇。有些人就会厚此薄彼实属正常，为了显示自己的优越感，有的人要等几年有资历，有的人几个月就迫不及待了。
我一直觉得时间是很可怕的东西，它会无情的消磨一切。我现在还记得入宅的动画，时不时回去看，甚至今年年初还看过一次。但是我最开始那个时候在用的词，在流行的我基本都忘怀了。现在我想要什么资源基本都能靠自己找个大概，一次下十部亦轻而易举。但我再也回不去以前那个四处找资源，一次最多下一个g我都嫌多，冒雨躲在空巷子里蹭网的下午。现在我什么都不想看了，生活的压力也好，精神的改变也罢让我无暇顾及这些。大概这就是很多人觉得以前的经典比现在好多一点原因吧。",消极,0.99,0.01,20,0,河北,Gender.UNKNOWN
字太多不看，我就一臭看动画片的,消极,0.97,0.03,1,0,广东,Gender.MALE
"不是二次元独有的问题，每个领域的老登碰到小登基本都是这样的。譬如体育圈厚古薄今问题更重，而且这个问题也不限于当代或者文娱领域，纯纯是人类史上的死结。
一般解决方法都是把老登熬到退出主流舞台了才会由长大了的小登重新把持舆论风向并且开启下一循环。",消极,1.0,0.0,14,0,上海,Gender.MALE
"看不惯自己去做呗
明日黄花抱残守缺中年巨婴不可取
要么闭合老老实实扎进自己的世界里，要么开放忘掉自我的存在去拥抱更多的世界
矫揉造作七上八下才是最要不得的
一代人自有一代人的使命嘛",消极,0.99,0.01,1,0,江苏,Gender.MALE
"我对现在年轻人唯一一点不满就是为什么那么喜欢塔塔开，你们到底是来看文艺作品还是来享受战争的
不喜欢到处都是塔塔开的氛围应该不犯法吧
每当想起零六年在贴吧对着腐女骂南通变态时她们竟然好好和我讲道理时，就觉得像做了个梦。
后来发生了什么呢……有人挖出十年前的同人文说标题没有打tag是把不吃这对cp的人骗进去杀，有人扒同人作者的成分忠心不绝对就是绝对不忠心，有人不待在一言堂的环境里就浑身难受，为什么会这样呢总之都是对家的错吧
又或许是无法理解现今年轻人的生活有多悲苦以至于要如此发泄的我的错吧
流感季节注意预防",消极,0.89,0.11,74,0,美国,Gender.MALE
以前想着有钱了一定要买高端显卡开最高配打游戏，现在突然没了什么兴趣，甚至不如刷视频看小说看贴吧有意思，因为游戏还要电脑自己打开玩，而且开车开枪打敌人啥的有啥意思，剧情流水账，要论游戏性，甚至不如和ai聊天，好麻烦的感觉。。。,消极,0.98,0.02,7,0,山东,Gender.MALE
啊貌似爱抄公寓粉也是你这话术,消极,0.93,0.07,3,0,广西,Gender.MALE
感觉回忆真的会美化很多事情虽然多年后再看会发现其实也没有那么好，但不是所有东西都有再见一次的机会，积累下来就渐渐地厚古薄今了,消极,0.98,0.02,8,0,湖北,Gender.MALE
犬夜叉我喜欢，夜叉姬我也喜欢，游戏王我找不到朋友一起就玩玩YGO，甚至都不对战，就打打人机，关注新卡的消息也不一定真会构筑卡组，更多是为了看看卡图，顺便RD的卡图真好看。有的喜好就固定在那里了，比如我十多年前就喜欢无双游戏，到现在依然喜欢无双游戏，光荣敢出我敢买，但的确大环境变了，现在无双都不怎么出了，所以法环这种我原来嫌麻烦的游戏也玩了，也四百多小时了，说到底我改变不了世界，那就只能改自己了。,消极,0.97,0.03,4,0,北京,Gender.MALE
相差10岁甚至20岁的人本来就会有一定的代沟，再加上动漫这东西不是什么老少皆宜的东西，最迟过了30绝大多数人也退坑了很难再去接受新东西了，所以只希望所谓的老二次元不要厚古薄今，少点对年轻人指导瘾，毕竟属于你的时代已经过去了，同时年轻人也能尊重下老番，别因为时代变了就天天把龙虎凉宫拉出来批斗,消极,1.0,0.0,11,1,四川,Gender.MALE
"然而，其实问题在于究竟是谁选择留下来还是走下去。
你其实根本没被困在雪山里，这里只是普通的一个歇脚点，你留在熟悉的环境并不会冻死，继续走下去也不一定就是好事
关键在于你到底是继续走，还是你觉得别人期待你继续走，所以你要回应。
个人看法是，好好想想自己想要什么，有时候抛开他人意见也很重要",消极,0.99,0.01,2,0,湖南,Gender.UNKNOWN
不知道从什么时候开始，就不爱动漫了......哎,消极,0.95,0.05,1,0,湖北,Gender.MALE
现在新番新游戏好多都是短视频云一遍，05年重小霸王玩游戏一直到现在我反而更愿意玩手游，电脑有时候开着也是猛猛刷手游,消极,0.99,0.01,1,0,云南,Gender.MALE
"哪里都有遗老，又不是只有二次元有遗老
lol现在都还有给老剑圣老赵信追魂的遗老，张口闭口就是无敌，都不知道玩没玩过游戏
一点是不愿意接受改变，还有一点是不愿意放下自己的虚荣心，用以前别人没接触过的东西来向新来的人展示自己微弱的优越感
他们不是在怀念过去有多好，他们只是想证明“我比你好”，毕竟互联网这种没有门槛的东西想给自己贴点金只能拿时间做文章了",消极,1.0,0.0,5,0,江苏,Gender.MALE
"我最早接触的二次元还是指虚构架空的，自嘲自己是三次元人与二次元相隔次元，现在倒是自称二次元真的挺怪的，新人抢话语权同样也是诋毁了老人的青春，就像哈基米是猫不也挺多人接受不了吗。
业界药丸那些脱坑了还赖着不走，精品从来都是少数，过去不好的被选择性遗忘了而已。",消极,0.98,0.02,1,0,内蒙古,Gender.MALE
这也是我觉得年轻人和老年人最大的区别（心态上）。永远热情，永远探索。,消极,0.94,0.06,1,0,陕西,Gender.MALE
破吧有老登批评好评新番，也有小登批判好评老番，都挺讨厌的。业界药丸的肯定是新的根本没看或者只看了厕纸，什么时候精品都是少数。,消极,0.98,0.02,3,0,内蒙古,Gender.FEMALE
"我看动画也二十多年了照样追新番啊
但我就是觉得最近机战番除了巴克亚罗和闪哈没有一个能打的有什么问题吗
追水魔追到完结的时候都觉得自己为什么要浪费时间看这坨东西
勇气爆发也是最后几集出大问题，说它不如勇者王没问题吧",消极,1.0,0.0,3,0,美国,Gender.UNKNOWN
毕竟某群体已经把非后宫都给开除二次元籍了,消极,0.99,0.01,3,0,上海,Gender.MALE
"新的也在看，同时也怀念旧的
但真不理解现在ttk的氛围",消极,0.97,0.03,1,0,江苏,Gender.MALE
年轻时候我最喜欢看慢节奏的可以品味生活的番，像是虫师，我不但能一天只看一集（避免串味），还能反复重刷。但我现在看丽芙莲完全没有这种动力和耐心，怎么说呢，制作放在现在是不错的，但没有主线的片子停下来就完全不会想要继续看，回味已看的集数甚至会觉得核心梗很简单，而且叙事有些套路化（女主到达一处勇者的遗迹，经过一些事回想起勇者的好——女主到达另一处勇者的遗迹，经过一些事回想起勇者的好——女主到达……）。,消极,1.0,0.0,1,0,湖南,Gender.FEMALE
我不懂，但是我喜欢看你们ttk,消极,0.97,0.03,0,0,广东,Gender.UNKNOWN
"新番还在追，但我得承认确实有一些我曾经喜欢的题材现在没人做了
前两个月在玩秋叶原之旅，看着游戏里的宅男哥滔滔不绝地给我介绍自己喜欢的ip，我才发现现在已经不存在宅味这么浓的新游戏了",消极,1.0,0.0,1,0,河北,Gender.MALE
早都二次元出脑了,中性,0.44,0.56,0,0,浙江,Gender.UNKNOWN
老登们看不动了,消极,0.98,0.02,3,0,河北,Gender.MALE
太长不看3,消极,0.99,0.01,0,0,广东,Gender.MALE
现在的二次元圈子基本就是完全饭圈，看不起很正常,中性,0.45,0.55,0,0,湖北,Gender.FEMALE
钉宫理惠和花泽香菜还可以在今年的碧蓝幻想relink里找到,消极,0.99,0.01,0,0,北京,Gender.UNKNOWN
gg的优秀要让你们知道呐,消极,0.91,0.09,1,0,上海,Gender.UNKNOWN
遗老真会称自己二刺猿吗我连宅都不想承认,消极,0.99,0.01,1,0,江苏,Gender.MALE
我觉得随便把人批成遗老，和遗老已老买老都不是啥好行为，但好多时候两种人其实没啥冲突，没必要上纲上线，怀古伤今和展望未来其实并不冲突，人生的过程和作品的发展是持续向前发展的，单纯的想通过时间把人分成进步派和遗老派只能加深矛盾与冲突，其实对双方喜欢的事物没有积极的作用。,消极,1.0,0.0,8,0,天津,Gender.UNKNOWN
人与人无法相互理解,消极,0.69,0.31,1,0,河北,Gender.FEMALE
虽然但是我一直都觉得伪娘二三次元混在一起没什么。至少我很喜欢,消极,0.84,0.16,1,0,北京,Gender.MALE
柿姐我初中的时候净听她小黄歌了,消极,0.68,0.32,0,0,河北,Gender.MALE
伪娘 女装 男娘三个本来就是一个意思，非有人要把它拆开,消极,0.65,0.35,1,0,浙江,Gender.MALE
"被人喷遗老也好，但还是觉得新片劲不够大，就算好看也很难被感动了
但老片像是攻壳sac是工作后才补的，不影响这片在我心目中的地位比很多小时候追的动画高
0079小时候看、大学的时候看，现在看，看了好多遍，依旧能够一口气看完
EVA、机动警察剧场版、无限的未知等等这些片仍然常看常新
甚至SEEDHD、圣诞之吻最近重看仍然能看得津津有味
新番基本而近些年的动画里只有棍勇会反复观摩了",消极,0.99,0.01,2,0,上海,Gender.MALE
？不是伪娘cos是2.5次元，以前整个cos都算2.5次元啊,消极,0.99,0.01,2,0,河南,Gender.MALE
