时间,文本,识别结果,消极概率,积极概率,IP地址
2024-04-23 16:27:02,这样的小米很难让人不支持,消极,0.97708,0.022920009,安徽
2024-04-23 16:27:02,"大家叫粉丝经济或者叫米粉
有很多政府的团经常到小米来参观我讲到这里他们死活听不懂
我后来说了一种方式
我说这就是群众路线
我说就是相信群众依赖群众
从群众中来到群众中去
他们说这个讲得好",消极,0.9979163,0.0020837092,安徽
2024-04-23 16:27:02,没见那个说这句话的人会塞90多亿进自己口袋,消极,0.9790278,0.020972183,广东
2024-04-23 16:27:02,楼主还是亮出你的小米全家桶来看看吧。不要领了工资还支持友商哦！,积极,0.25503966,0.7449603,广西
2024-04-23 16:27:02,那能够把2018年p 2 p卷跑的几百个亿，积木盒子，这些钱还给群众吗？这些坑了多少米粉，让了多少忠实的粉丝倾家荡产,消极,0.99769765,0.0023023195,贵州
2024-04-23 16:27:02,宗教洗脑营销式的“”粉丝经济”？,消极,0.97286093,0.027139088,湖北
2024-04-23 16:27:02,宗教一样营销，最恶心的就是猴子们，把市场搞的乌烟瘴气,消极,0.9772226,0.022777416,河北
2024-04-23 16:27:02,最近这些猴子闹哪出？雷不群要跑了吗？,消极,0.9807366,0.01926338,陕西
2024-04-23 16:27:02,冖王的意思是它接待的那些团智商有缺陷？经常来还听不懂？,消极,0.899982,0.10001797,上海
2024-04-23 16:27:02,这话本来就是雷总先说的，higo别急,积极,0.114008084,0.88599193,山西
2024-04-23 16:27:02,看不懂说的什么？,消极,0.97847134,0.021528667,广东
2024-04-23 16:27:02,su7的定价是不是已经脱离群众了啊。明显比亚迪，五菱的车型更适合百姓,消极,0.8066273,0.19337276,四川
2024-04-23 16:27:02,又发圣经啦,积极,0.064029396,0.93597066,广东
2024-04-23 16:27:02,米粉的脑子都有问题，这是把雷军架在火上烤，捧杀他吗？,消极,0.9805222,0.019477792,浙江
2024-04-23 16:27:02,我相信雷总！ 重修花果山，复整水帘洞，齐天大圣！威武威武～～～,积极,0.048319798,0.9516802,广东
2024-04-23 16:27:02,应该是屌丝路线吧,消极,0.97063375,0.029366285,江苏
2024-04-23 16:27:02,宗教公司,消极,0.9299888,0.07001113,广东
2024-04-23 16:27:02,这么吹是生怕他死的不够快是吗？,消极,0.9739255,0.026074523,加拿大
2024-04-23 16:27:02,买个小米网络摄像头，APP上来就弹广告，反映好多次，问候雷军他奶奶很多车毫无回应，小米也不要个脸了，以后坚决不买任何小米的东西,消极,0.99499786,0.005002147,黑龙江
2024-04-23 16:27:02,什么身份敢说这话啊,消极,0.92512643,0.07487352,浙江
2024-04-23 16:27:02,雷总这话深刻啊,消极,0.965151,0.034848973,河南
2024-04-23 16:27:02,这是反串吧，,消极,0.9426219,0.057378106,重庆
2024-04-23 16:27:02,营销公司真榻🐴恶心！,消极,0.96076053,0.03923944,湖南
2024-04-23 16:27:02,畜牧业都能扯群众路线,消极,0.9752617,0.024738312,浙江
2024-04-23 16:27:02,我觉得这个可以拍成小品，雷不群一边说着上面的台词，一边往兜里装99亿，别问为什么，问就是不知情。,消极,0.98764646,0.012353559,广东
2024-04-23 16:27:02,一个正常人花更少的钱买更好的东西，这个是正常思维。但是如果有人花更多的钱去买一些质量更差性能更差溢价高的东西，无非两种可能，一种是有钱不在乎，另外一种就是宗教信仰加成！猜猜谁才是真正的宗教,消极,0.7872717,0.21272837,重庆
2024-04-23 16:27:02,"《群众》
那统计局这一阵统计的数据是咋出来的啊
大道本无幻，絃琴自有魔。人皆迷著此，吾独病如何。",消极,0.9247337,0.07526633,北京
2024-04-23 16:27:02,新时代的买办阶级，这种人就应该万劫不复,消极,0.94931567,0.05068437,浙江
2024-04-23 16:27:02,真是对这句话的侮辱，雷🐶我🌿您🐴,消极,0.66446316,0.33553687,湖南
2024-04-23 16:27:02,还是老一套，意思是谁最好骗骗谁呗。,消极,0.91730314,0.082696795,浙江
2024-04-23 16:27:02,这就是你们所支持的雨田君,积极,0.13368239,0.86631763,上海
2024-04-23 16:27:02,没有设计就是最好的设计。说的太好了,消极,0.8258604,0.17413963,浙江
2024-04-23 16:27:02,从群众中来，到群众中去，这话是好话。字研后就变成了：利润从群众中来，东西卖到群众中去。请大家也字研一下二者的顺序,积极,0.11397443,0.88602555,重庆
2024-04-23 16:27:02,狗屁，完全两码意思，米粉就是挟持民意。,消极,0.96414965,0.035850417,广东
2024-04-23 16:27:02,支持小米的是群众，不支持小米的是？,消极,0.9379364,0.062063582,天津
2024-04-23 16:27:02,说得好，同理类推，娱乐明星也是走的群众路线,积极,0.3193766,0.6806234,江苏
2024-04-23 16:27:02,OPPO设计师吗，那人，,中性,0.4110113,0.5889887,四川
2024-04-23 16:27:02,雷总给自己分99亿在前面30年那是要被杀头的,消极,0.9805746,0.01942538,广东
2024-04-23 16:27:02,教主发言了啊，大家留心听讲,积极,0.14654092,0.85345906,广东
2024-04-23 16:27:02,雷军知道自己在说什么嘛？,消极,0.97361803,0.026381992,山东
2024-04-23 16:27:02,哥谭的噩梦，蝙蝠侠的老对手,积极,0.095211565,0.9047885,广东
2024-04-23 16:27:02,你喜欢我讨厌正常。都是群众，谁也不比谁高贵。,消极,0.7800234,0.21997657,浙江
2024-04-23 16:27:02,资本家聊群众哈哈哈哈哈哈哈哈哈哈哈哈,积极,0.03487164,0.96512836,福建
2024-04-23 16:27:02,印度群众也是群众对吧,中性,0.4784141,0.5215859,江西
2024-04-23 16:27:02,雷军 金帆,消极,0.69905293,0.30094704,云南
2024-04-23 16:27:02,后面的说法他们其实也不懂，但是能触发条件反射,消极,0.97923946,0.020760542,上海
2024-04-23 16:27:02,请晒出你的小米su7,消极,0.96769685,0.03230313,宁夏
2024-04-23 16:27:02,不要看资本家怎么说，而要看资本家怎么做（没错是资本家不是人民富豪，毕竟注册地不在国内）,消极,0.97989124,0.020108702,重庆
