时间,文本,识别结果,消极概率,积极概率
2024-04-21 22:56:54,楼下细🔒,积极,0.32000273,0.67999727
2024-04-21 22:56:54,快来水快来水,积极,0.04328004,0.95672
2024-04-21 22:56:54,先说一下🐭🐭这个舍友吧。简称他为Y哥，Y哥曾是体育生，后来受伤转了文化生，会弹吉他，唱歌好听，有一次搞音乐节吸引了很多妹妹，加上靠体育生的素质运动会拿了银牌，也是吸引了更多的妹妹,消极,0.61284196,0.387158
2024-04-21 22:56:54,然后他对于妹妹的追求是来者不拒，他说要在这么多追求他的妹妹里寻找一个最合适的,消极,0.8984899,0.10151009
2024-04-21 22:56:54,你怎么搞的呀 真没出息呀.jpg,消极,0.97921044,0.020789536
2024-04-21 22:56:54,之后也在不断有妹妹加他,消极,0.9345138,0.065486245
2024-04-21 22:56:54,没人？单机贴吧？,消极,0.951433,0.048567
2024-04-21 22:56:54,守旧派，打嗝觉🧵,积极,0.1153297,0.88467026
2024-04-21 22:56:54,然后Y哥在文体部工作捏，文体部副部长也是看上了Y哥，副部长可是有男朋友的xxn一枚捏，Y哥也是知道她有，但是两个人就在一起搞暧昧,积极,0.06806258,0.9319374
2024-04-21 22:56:54,通知他快回哥谭,积极,0.07209008,0.9279099
2024-04-21 22:56:54,"怎么，不跟你回山里了？
“这腿脚都不利索了。”",消极,0.98123956,0.018760404
2024-04-21 22:56:54,后面🐭🐭跟其他舍友也是看不下去了，教训他别干这种事，加上部长（简称J）自己搞事，Y哥也就不喜欢她了捏，然后看上了另一个化材的学姐捏，并且发誓好一辈子,消极,0.926389,0.07361099
2024-04-21 22:56:54,学姐简称W,积极,0.26865107,0.73134893
2024-04-21 22:56:54,Y哥认为自己是情场高手捏，可是在谈过三次恋爱的🐭🐭看来，他还是很幼稚,积极,0.05329887,0.9467011
2024-04-21 22:56:54,Y哥跟学姐也是暧昧一段时间，一起逛街，一起吃饭，都不在宿舍常待了，他说他就喜欢学姐，喜欢被姐姐照顾，像妈妈一样,积极,0.102441154,0.8975588
2024-04-21 22:56:54,对此🐭🐭跟其他舍友猜想他是不是缺爱,消极,0.86942095,0.1305791
2024-04-21 22:56:54,下面发两个他分享给🐭🐭的照片，是不同的妹妹找他的,消极,0.9497277,0.050272275
