时间,文本,识别结果,消极概率,积极概率
2024-03-08 19:12:30,我可去你妈的,消极,0.92168784,0.07831218
2024-03-08 19:12:38,这店怎么开下去的啊,消极,0.9273086,0.072691426
2024-03-08 19:13:00,中规中矩吧,积极,0.05451596,0.9454841
2024-03-08 20:46:51,我去你妈的,消极,0.9311915,0.06880849
2024-03-08 20:46:57,操你大爷的,消极,0.8746552,0.12534481
2024-03-08 20:47:05,我好喜欢你啊,积极,0.14614353,0.8538565
2024-03-08 20:50:20,楼主是什么小丑,消极,0.9522106,0.047789373
2024-03-08 20:50:41,"回哥谭吧,蝙蝠侠说不打你了",积极,0.26131895,0.738681
2024-03-08 20:50:45,蝙蝠侠说不打你了,消极,0.9678499,0.032150112
2024-03-08 20:51:00,什么纯纯小丑,消极,0.94975895,0.050241116
2024-03-08 21:23:42,我去你妈的,消极,0.9311915,0.06880849
2024-03-09 19:25:44,傻逼,消极,0.94810337,0.051896684
