Text,User Name,Agree,Disagree,IP Address
"Mate60突袭带来的巨大热度，只能玩一次有效果。
这次显而易见就差距很大。估计华为内部也有预料。
但是，也没见买自媒体，买热搜。后续发布会也没影。
似乎，一点不担心，不愁卖的感觉。
华为这种好像胸有成竹的底气到底从何而来？
搞不明白。不知道这次P70销量，是否真达到预期。有点犯嘀咕。",青蕴于蓝,193,2,江苏
这次p70不是重点吧，,木子11走兔,22,0,四川
线下门店多啊,风舞袖影,44,0,广东
长卖机型不靠一时的热度。华为又不是某家就靠首发那几天出货。,我有奇策十二,383,0,辽宁
都还没发售呢,jameszone,4,0,上海
"一亿营销的厂，也没见你们买爆啊
偷偷领先",borgbot,25,0,四川
现在华子连手机发布会都不开了，直接发个公告就开始卖手机了。靠热度卖手机的那家常年排名垫底  ,Air_Feixiang,397,1,山东
改变营销策略了，不像之前一直拉热度，现在低调挣钱，而且要给车流量，所以会主攻线下,飞的太高有危险,54,0,湖北
"华为又不全靠手机支撑，而且4G手机卖9000的时代都熬过来了，现在怎么也不会太差。
华为2023年营收7042亿元 ，净利润870亿元
小米2023年营收2709亿元，净利润192亿元
看营收也没什么好担心的，没有哪个品牌的旗舰系列比华为的更难买了吧。",a547567808,84,0,安徽
没见买自媒体，但是稍有人气的自媒体都抢到了货，一定是从黄牛手上加价购买的吧,钱不4东西,20,2,重庆
但是看不到大嘴在台上吹牛🍺我身上有🐜在爬,江枫疏雨,80,0,江苏
门店22号开卖,益都老李,4,0,山东
倒不是没买，之前发布会还有机酒呢。具体原因……只能说比较大了,邱禹程233,0,0,浙江
现在芯片根本不够用，不愁卖。芯片产能从今年年底开始拉升,仰天长S,15,0,广东
菊花好像根本就不想做手机了，p70有没有销量都无所谓的样子,村里发金条啦,12,0,湖南
华为自己就是流量啊，和苹果一样，那些评测自己往上凑，根本不愁卖，你们少买点，我都抢不到,renyue119,37,0,浙江
华为现在发布会都主车了感觉,亚洲新星,5,0,北京
"1，一次性出这么多颜色，显然是准备长卖。
2，他想大卖也不敢，Mate60爆火是一次好事，但是Mate60几个月都买不到也是一次坏事，无论是好事还是坏事，他都不希望再来一遍了，这种太不健康了。
说白了，新凯莱的gkj上线之前，他手机也就这么回事了……先进工艺全部要给计算卡，麒麟本质上就是昇腾的硅渣……",旋转爆震男,101,0,宁夏
P系列以往都比mate系列卖的多 因为同样东西比mate拍照好 外观好看 芯片原因把 以后要是解封了。估计还得疯狂,liuyuqiang86,7,0,北京
华为现在本来产能就有限，想买的自然会去买，热度炒高了没有对应的产量就是问题,返恐茎阴,42,0,四川
不是胸有成竹，是无所谓。这次产量应该不是很大，能卖完差不多就行了。过渡机型，真正的技术进步都在mate70那边,_幻灭_成灰丶,11,0,福建
热度没有用。本来活就少，热度再高，买不到还不是反效果,屌丝雷军耍猴子,8,0,广东
可能是产能问题，不想多卖，利润高就行,妄想症地勋,11,0,广东
感觉现在华为的重点在推 next，ai 还有车,路过的一大只丶,7,0,广东
"华为自带的流量太恐怖了，反倒是kol们要主动去测华子吃这个流量。
再一个华为可能也没想卖太多，不然60系列也不会一直缺货了。主要还是保持自己的存在感就够了。
因为按ai芯片的那个价格来说。麒麟生产的越多，它挣得越少……
芯片产能有限，麒麟产多了，昇腾就产的少了",ncbjabjk,35,0,河北
感觉华为已经到了其他厂商到不了的高度了,丶遗城落梦,7,0,浙江
我这里一个西部小县城都有人提前半年订P70…,秋叶无几雨亦疏,5,0,云南
60是期望太高，以为有国产光刻机啥的，所以外界对这事热度很高。,吻P你裙下唇,1,0,浙江
还没发布呢,Vacant_留白,0,0,河北
热度？你看到网上有oppo vivo的声音吗？线下把冖🐒打的妈都不认识,j_sonic,24,0,江苏
感觉现在手机并不是华子的重心业务了。AI芯片比手机好赚钱，然后还要搞芯片，系统，车什么的。很难顾及周全,不懂你懂的我懂,4,0,云南
都在忙着920呢。出不了货华子急死了。,紫冥孟尊,1,0,河南
自降热度估计是，目前产能跟不上,weichengwei中,4,0,广东
因为根本不愁卖，相反还会缺货,quanweijie,1,0,陕西
都是赢。,吕蒙sky,0,0,广东
一是自带热度，二是产能不足,沙花天堂,3,0,辽宁
不然呢，还跟小米一样各种营销，继续饥饿营销？,,7,0,安徽
现在大嘴最主要的任务是车跟鸿蒙,银弹小空空,0,0,安徽
Ai芯片太赚钱了，现在卖十几万一片,mmm雨过晴天,7,0,贵州
老客户都直接去买了，靠线上那点猴子一样的水军有什么用呢,取个度明真难,3,0,江苏
现在手机是外交工具，不用宣传自然有人关注，特别是敌国和敌国的狗子,soskp1,13,0,福建
2024年华为心思根本不在手机上，而是全力推动完成鸿蒙生态，鸿蒙和麒麟的优先级已经是并列,Lucky小灰灰5,0,0,广东
产能有限，宣不宣传都没货，买算卡挣得比手机多多了,silence_swan,0,0,广东
芯片产能有限，过度营销之后没货卖，那就尴尬了,唐齐楚,2,0,重庆
就算手机给你拉那么高热度，没货有啥用。,1032746020,1,0,宁夏
买华为的根本不在意这些，明确发售日期能买就可以了。,Michaelfok123,0,0,中国香港
也许是芯片产能不足，先卖着不断档再说,拂面未觉寒,0,0,山东
只能说线下门店人络绎不绝，隔壁小米一个人没有,,6,0,山东
忙着ai芯片呢，光刻机估计都干冒烟了，产能不足啊,vcxzasdfgb2014,3,0,福建
已经能自产芯片了，没必要和m60的时候那么宣传了。真正要买的人不用宣传也会买的，还能靠小黑子们宣传省一大笔费用,夢囬S乱舞三国,3,0,山东
好像是故意压热度，从一推再推的发布时间就看出来了，明明店里早就到货了，就是不发售,魏梦茜,8,0,山东
所以是只有我买不到吗？,frjfrjfrj66,0,0,广东
"这都快五月份了，M70也就九月底，四个月多一点时间。
拖到这个时间，还指望啥。",ntm008,0,0,山东
芯片还是不够啊，下一代mate70能保证线上线下有货就完美了,great咸咸的,1,0,陕西
有瞬息互娱的那帮人拿显微镜找黑料，就能保持住热度了,就不是真的,2,0,湖北
华为目前跟其他厂商不是一个次元的，凭一己之力，带动产业链，内存国产，摄像头国产，处理器国产，所有关键技术全部国产,双子月的魔法,18,1,重庆
照着这热度闭着眼睛卖，p70和m70今年都能卖个一千五百万到两千万,不__愿,2,0,内蒙古
今天去南京东路旗舰店排队等开门，结果没现货，只能预定70标准版和pro+，还好买到了授权店永远没货的freeclip耳机，也算没白跑一趟,Blu_MY,3,0,上海
