Text,User ID,User Name,Nick Name New,IP Address
"
北风吹，秋风凉。谁家娇妻守空房，你有困难我帮忙，我住隔壁我姓王。",792036973,阿爸阿55,隔壁王叔😘,广东
"什么正义的使者，纯爱的化身
人间难得的清流",1334917407,对a你说的都对,都tm忘了,山东
狠狠拷打,596094247,江夏霸主,江夏霸主,江苏
不然呢？,4479207428,Zhiuhaox,Zhiuhaox,甘肃
定在耻辱柱？不给你tui口唾沫不错了,1904027237,,别看我id了你又记不,四川
若至,6438519427,,笑q,吉林
好，支持！,5709186622,,大腿夫,天津
出轨了还想要清白,6437037656,g_hcsia,g_hcsia,广东
3,2765031216,神剑_逍遥,金絲熊笨笨🐭,山东
不然呢？把光荣事迹表彰起来挂墙上？,5018937780,cx1678,彩色鱼头🐟🐟,海南
我的评价是:活该捏,5022045506,镜子里的猫眼,镜子里的猫眼,江西
只能说老哥人间清流,4350973556,瑠衣千舞,瑠衣千舞💥,辽宁
后续呢,3227987848,asd196678,塔菲皇,四川
🐮🍺,1445584496,渦動破壊神,🔥の高兴,辽宁
这哥们在积德捏,1717476943,傲娇的纱雾酱,傲娇的纱雾酱,四川
出轨了还想要清白 ？支持这哥们,1442952359,Eguix,沧禹☜,湖北
3,1579458296,添柴美少女,上航懒羊羊,上海
支持老哥薄纱xxn,2093266817,Edward红,青执🔯,浙江
只能说活该,5748732768,,食雪汉（端正版）,辽宁
不然呢？,3905084210,a16630913357,鼠鼠这次真不敢了,河北
不然捏？,1905168111,Aing小样,贴吧用户_QEED5eZ,广西
又当又立,5984773257,哇他希瓦良民,溟蒙渐染,河北
图真长啊,2577038210,橘醋坛子,橘醋坛子,广东
我理解但是不支持这种行为(*╹▽╹*),2577038210,橘醋坛子,橘醋坛子,广东
好似,5610784210,Done的阿来气,Done阿来气,广东
Text,User ID,User Name,Nick Name New,IP Address
正义的护草使者捏,2951276923,问题很dark,不妙g,广东
好似,4822200862,house小困啊,繁星所爱之人i,福建
应该发光荣榜,587307890,喜欢阳光的风,喜欢阳光的风,安徽
好事,1572744819,持趣zero,放风筝的人z,北京
老哥 正义使者,1180382617,kyhjm,永失我若,湖南
这种都没法子测……万一有病……,6473469521,误一世田所浩二,误一世田所浩二,山东
3,5767130463,,飞而不翔的鼠鼠,河南
日后可能有不时之需,6308777457,,贴吧用户_G3S6bZ2,江西
应该颁个奖吧,5767460868,,斯卡蒂罗杰尼斯湖水怪,四川
不然呢？给xxn们立个牌坊？,5488480579,范特西的新作,范特西,河南
正义执行，薄纱,3502577203,,贴吧用户_5AUtG2b,广东
不喜欢？给你浸猪笼好不好,3535189210,仲夏亱HD,我都听陶喆了你就让让,湖北
好,2389399380,二次元柴浩,五等分的商鞅😇,陕西
这就是代价,3462467966,,贴吧用户_5RJ7a1y,广东
让老哥来孙吧混 我们罩他,1454785737,2019_04_03,yuuuuǔ,湖南
正义执行,4831587855,gjb3407749672,姬韵,湖南
3,4782682523,清欢1i1,清欢1i1,福建
不应该吗？出轨的女人就该坐木驴，男的宫刑，“情理可容之事， 法未必能容”,1395515762,wo的神呐,ZEPPELI！,山东
不顶在耻辱柱上钉在哪里？你还想钉在十字架上？,569046234,神的小三三,神的小三三,湖南
放古代被抓到还能不能活都是个问题,5724795969,lyonks,醉死梦生,广东
不然呢,2220677925,,孤独的根号三,浙江
为什么不能找暧昧那男的接着谈？只有约的时候才想到他？,680464615,山仔sky,Uncle-S,江苏
你也就感谢现代社会吧，搁古代你这样基本上就被打的就剩口气了,1824150820,处女座wwaaaw,名字被占用的画风,辽宁
不，它吸男性血的时候就该一辈子钉在耻辱柱上了，不过愿意被它吸的👻男也活该。,6443236954,,*win麻了的美国*,北京
出轨了还在这里清高,4875805338,19192580qwe,吸、,河北
3,5148230530,cc1589836,猪妹绝活,辽宁
3,5148230530,cc1589836,猪妹绝活,辽宁
Text,User ID,User Name,Nick Name New,IP Address
3,5148230530,cc1589836,猪妹绝活,
3,5148230530,cc1589836,猪妹绝活,
智齿,2272237184,小小过河卒c,躲到世界尽头,
那不然呢？,5488034309,天海律者,海之律者,
