22年疫情，🐭🐭和女朋友异地分居了两年多，那时候不提倡出远门，🐭🐭也很老实没有到处跑一直线上办公，大概是 22 年 7 月的时候，🐭🐭被狐朋狗友怂恿，就偷偷去月抛，带去黑酒吧开了个包厢乱搞，本来什么事都不会有的，🐭🐭竟因为这次外出，不幸感染新冠，码变成了红码，成了密切接触者，当晚👮♂️找上门，🐭🐭被拉去方舱隔离，👮♂️盘问了鼠鼠的时候出行轨迹，本着救人一命胜造七级浮屠的原则，🐭🐭选择坦白从宽，（包括月抛场所），没想到的是，🐭🐭上了当地疫情红码仔去向的公众号，🐭🐭从家里出来到被逮捕整个过程都被写的清清楚楚，当时那篇推文传的沸沸扬扬，自从🐭🐭跟女朋友说了🐭🐭阳了以后，🐭🐭的女朋友莫名其妙就看到了那篇文章，打电话锤了🐭🐭几天，和🐭🐭分手，还有几个月就结婚了一下子没了。,3219805948,我能怎没名字了,点名批评😘,广东
编快点,1627879825,,漫长的白日梦🎅,广东
该,1741453134,,贴吧用户_Qb3ED89,广东
打个🦶🧵,3219805948,我能怎没名字了,点名批评😘,广东
cy,6595974120,jajajjwk,jajajjwk,河南
gkd,2629522258,任阿七1,任阿七1,山东
楼主似了吗？,3939740343,爱神的赐福home,贴吧用户_5VPRtVe,广东
好似 小头控制大头了吧 悲乎 后悔莫及也,2384529274,,暴抡一击,江西
分手当晚，🐭🐭顶着新冠重压躺在方舱，即使身体承受着巨大压力，坚持以德服人，从始至终都积极和 npy 和她家人沟通。（🐭🐭本性是善良的，🐭🐭从始至终都洁身自好，不能因为犯了一个小错误就被人否定质疑）,3219805948,我能怎没名字了,点名批评😘,广东
打🦶打晕了，出幻觉了，好像🐭🐭又复合了,3219805948,我能怎没名字了,点名批评😘,广东
🐞该,6105369798,sifkxuokf,sifkxuokf,湖北
出轨还觉得是小错误 你是我在孙吧见过最臭的一坨了,5233030356,纯情嗨丝牢大,yyang^,山东
你的自拍：💩,5277574715,,雷刘李,广东
呵 呸,4065293554,,听空调呼吸,黑龙江
这种出轨开房变红码被抓的故事怎么感觉听过,6568502945,czy99823,尼姑定针,澳大利亚
当时🐭🐭整个人都是懵的，不管怎么说，认识了两年，删之前也该跟🐭🐭说一声，结果一声不吭就把🐭🐭删了，完全不给🐭🐭机会，🐭🐭打电话也不接，后面号码还被拉黑了,3219805948,我能怎没名字了,点名批评😘,广东
3,5603077264,,锦琳,江苏
别说那么多没用的，我就问你复合了没，没的话大快人心,2877656329,夜香烧了夜寒声,天地独一真神,河南
好似，省的祸害人家姑娘,1413845042,凯撒268,猫猫绅士,浙江
后来🐭🐭想去问问 npy 咋回事，结果 npy 也把🐭🐭删了。🐭🐭印象中大伙闹分手都是能复合的，没想到这个女人这么绝情，辜负了🐭🐭躺在方舱插着管仍然坚持沟通的心意。,3219805948,我能怎没名字了,点名批评😘,广东
活该,4128789393,元神prince,幽谷响子ww,山西
（本帖完结）打打🦶诺克萨斯瘾犯了,3219805948,我能怎没名字了,点名批评😘,广东
你都月抛了还想发出来让8u同情你？,3890777025,,贴吧用户_5by27yQ,河南
好似,2050323247,Backlightm,Backlightm,安徽
该,4147141302,spiderman175,什。。,辽宁
真的是血的教训，一定要洁身自好，远离黄赌毒，远离狐朋狗友,3219805948,我能怎没名字了,点名批评😘,广东
House,4540893124,7316473_,贴把用_114515,江苏
一眼丁假,622288281,啊呀啦拉,啊呀啦拉,广东
好似,1144055960,QAQ非酋一枚,御坂美琴🥰,陕西
好似,6401847649,gaosm啊,涌出塔菲喵,河北
好似,6418419678,psabyz,Mo1ika,山西
氵,2116767395,杨治强33,无良🌝🌞,四川
快马加编,5128834552,,姐姐哥哥我是,广东
该,853605201,typoo2268,翠微今晚死🐒,北京
"活该
扣一送小布丁",185792605,H234839,思思思思涵_,广东
别人都是搬史来孙吧，你倒好，自己就是一坨史,5294393604,abcnmb1314520,麵條得用筷子吃,湖南
短篇小说没意思,948531958,笑天蓬,◎约之水,广西
lz怎么还不似,5062919837,靠千树取胜,靠千树取胜,中国台湾
快马+编,2760883045,爱像山河,惊蛰1998,广东
好似,2655290003,Theer1988,究极反派面包狗,山东
如果是真的我只能说好似，如果是假的我希望它变成真的并且祝楼主好似,3133999014,张孝洲555,A nt,山东
3,1614867976,阿呆投篮三不沾,阿呆投篮三不沾,吉林
两年过去了，lz现在过得如何了,4576576113,月霜__,🌵风,浙江
活该,5604518281,雪乃AQ,清闲自得,广东
你怎么不狗带,3458124695,薄荷不能不加冰,诶嘿诶嘿哦,江苏
劝你趁早重开,5602054171,Cheems409,Cheems409,广东
"听说这个挺多经验的 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ~
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　上边的字超过700哦，大家用这个水吧，省空间，不然影响看帖。",973154563,chf叠,今天依旧没有精神！,湖南
活该好似,5951802666,贰進製的十進製,Freiheit@,辽宁
哈哈哈哈哈哈哈哈哈,4581891447,姜葱葱ilk,姜葱葱ilk,天津
好！,6104134486,he06726,星の,湖南
该,5411366558,小田baby1,大葱蘸酱鸭,陕西
好似,6467156873,i吃橙子皮,张良妹闪没大,安徽
🐞是这样的,1378281491,Ered橙霜,白熊Sama🎃,江苏
活该,2821289368,zhangyi31927,LawerZhang,新加坡
好似,1631301364,,贴吧用户_Q6be1eX,安徽
活该,5674428381,黑神话启动,😋🐒,广东
"一眼编
你的晚安 是我一直听不腻的情话",5790082160,Eternity_718,明天要见面,安徽
好分，管不住屌的fw,1182335623,jj990825,PLanetº,湖北
好死咯,2687032569,羲皇oJTlgJ,一直被光拉扯,湖北
狠狠的嘲笑,3135248726,fyibfdt,！234,河北
淡定，能找到一个就能找到下一个，这世界上多的是配你这种够的标志,6337676126,渡牒别搞我了,熔炉骑士再就业中心,山东
"该
水出个性
我要夺回属于我的经验
跟上老东西的节奏！",4979930206,家r们谁懂啊,最少也是万里挑一,安徽
太逆天了感觉是不是演的，不是的话祝你p一次就中标,5204957049,艾斯利尔6742,想名字好难哦,辽宁
好似,839064265,夜幕四合_,字里行间--,山东
活该，④了得了,5637145333,hongcheng129,🟢 🧟‍♂️,江苏
***是真该死,4055973691,柚希哦,莉莉丝大魔王℉,广东
吧友不攻击他，我可要攻击你们了,3577184189,夜半M曙光,艾❤️乔,广西
cs，发聊天时间出来,3469091899,朝朝暮暮阳阳,朝朝阳阳,中国香港
好死,6511233210,山河依旧很甜,山河依旧很甜,安徽
出生还会说这种话 什么叫犯了男人都会犯的错gdx喜欢发到孙吧恶心8u们是吧 出生dx干出生事还好意思发 纯喜欢挨骂呗,5182401976,永雏鼠属,永雏顶贞,福建
好似,6314312076,小康1491299425,只是耀眼的DNA,山东
抛开事实不谈，难道女生就一点错都没有吗,12103548,大蟒,贴吧用户_00121N3,黑龙江
4目,6384411388,wttszs04,原神高守,河南
“本来什么事都不会有的”你恶心到我了，真的出去别说自己是男的,730399113,347208962s,跃迁者◎,中国香港
不要把你自己这拖④和我们一起比较,5850458470,木struggle,苏苏不是簌簌,湖南
好似，别说你是广东的，你自己一个省吧,3157486836,,逐星年华,广东
活该,6392765837,,贴吧用户_Gy6beUP,广东
还好出了这事分开了，你个社会渣滓,3450210388,老子康师傅2,贴吧用户_5J8U77X,北京
好似，大快人心,4602619509,gubernatorial5,眉尺间🐭,河南
该,6381689805,酷狗鹰乐,鹰墓花盗,中国澳门
好似,3892938107,雨云很赞233,丧彪☁️,广东
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈哈哈嗝哈哈哈,5631552313,魔仙堡射手,魔仙堡射手,江苏
好似,6086691356,skhshsj,咸者如鱼,江苏
出生,4965954632,司遇斯宇,春衫阳,河南
3,3477263616,,古斯塔斯之兔,江苏
3,2536964521,jkc407,真的不是孙笑川,河南
这种一般应该是直接骂，但是我不愿意脏了自己的嘴，所以就放你一马，灰溜溜从下水道过去吧,953018104,雪顶白熊,雪顶白熊,山东
好似,1391786233,fly小蓝123,喜欢做白日梦的飞舞,天津
难过吗,1330205193,xxxx11134,南风知我翼,江西
好似,3938183119,鈽為哺钀絯hale,镜破,上海
编快点,1784612078,超级海带鱿鱼,超级海带鱿鱼,福建
sblz,4050311229,RickRICKrick12,机王神力,江苏
快马加鞭,3825194417,莱布尼茨的仓鼠,莱布尼茨的仓鼠,四川
男人总是这一句话啊，这种男人太笨了，非常事情还乱搞，也不注意安全,2234581464,123吴聪,爱呀妈呀,山东
"听说这个挺多经验的 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ~
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　上边的字超过700哦，大家用这个水吧，省空间，不然影响看帖。",4845149922,十小第一深情,十小第一深情,重庆
出生，**脑子，打的瓦塔了,2142107826,馃敨灏忕孩鍢,澪音zero,山东
@天精兽 乐死了,835604,惑月小猫,Vacancyya,天津
3,5536512740,,公交车上坐公交,山东
这不纯活该🤣🤣🤣,4136367766,____KIN____,🔥Kin🔥,河南
既蠢又没有原则，要么别约，要么别被抓到，现在事情发生了就接受后果,3041221415,阳光收快递,罗辑不是逻辑▫,山东
不管你是真有其事还是帆船，都tm该似,5040419007,捏麻麻滴大爷,所累瓦多卡纳,贵州
管你是真的还是假的，似就完了，赶紧似,2750064207,云裳779,鼠鼠,陕西
水过了,2159745830,七f1528,不刷板纯摆烂,上海
不想说了，自己看图。,3262424076,好奇学长smile,折之江😲,江苏
该,1877856311,水流东坡尸,🍥北极猫🍥,河南
如果是假的，我希望是真的，如果是真的，那你house,5698119124,,玄都观里桃花水,湖北
好似啊好似,6331374289,lz步出夏门行,步出夏門行,北京
你女朋友去约的话，你会怎么想呢,3405434308,tdppy,皮小曲一号☞☜,江苏
哈哈哈哈哈哈哈哈,1616008312,索菲诺伊恩缪拉,索菲诺伊恩缪拉,湖南
活该,5443963586,雨霁光风,雨霁光风,广东
瓢虫好似,2086807740,jsjsix,雾净笙,山东
该,3511809152,耳东闻雨,达达尼昂121,河南
好似,1721442249,,贴吧用户_Qb4MRy4,江苏
好似,3482750137,丁真哥哥,数一数二,山东
好似,6570727847,,贴吧用户_J58tMPR,重庆
一眼编,3473010677,LessSword,Seraphim,广东
"听说这个挺多经验的 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ~
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　上边的字超过700哦，大家用这个水吧，省空间，不然影响看帖。",5896409850,,TheYoung,江西
《男人都会犯的错》你代表我了？自己管不住自己不就是活该,3111170157,哈哈哈哈哈啊锕,贴吧用户_73eQU5P,北京
恶心,5226983586,fjcbdjdhjd,天才少女叁叁酱33,甘肃
月抛爽吗,5040440949,X60089,贴吧用户_aMJyQbV,辽宁
又去哪里偷的帖子,2910013916,我从未期盼过,从未期盼过,广东
建议出轨的都鞭刑,4742489276,氪癌,北海道张本怡涵,广东
快马加编,429805571,馋栔ww,理塘顶真ww,湖南
建议去死,1059580070,捡肥皂的少年i,快乐猫zzZ😽,河南
该，纯纯出生，还能说出《我只是犯了一个男人都会犯的错》真恶心到我了,2918251543,用户代码693,爱吃草莓味棒棒糖,辽宁
"听说这个挺多经验的 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ~
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　 ิۖิۣ ۣۣۖۖۖۖิۖิิۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۖ
　　　ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิ ۖิิۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิۖิิ ۣۣۖۖ ۖ ۣۣۖۖิ ۖิิۣۣۖۖิۣ ۣۣۖۖۖิ
　　　上边的字超过700哦，大家用这个水吧，省空间，不然影响看帖。",4038318144,伊恩伊恩惹,活着～～～,湖北
恶臭,2768527393,断剑员外,断剑员外,江苏
不管怎么说，要你真干了这事你真是活该，要是你是钓鱼的那你私募,4629347011,wdnm7_,地咖啡,浙江
像你这种的就不用治了,6550295191,一只理智道,在世华佗,天津
你又有女朋友，又能月抛，你是个锤子鼠鼠,2573702103,卍柏温卍,净心归一,广东
@sxc312,2351702241,,一路向←,上海
瓢虫好似,2578250359,昵称已被占用捏,托马斯螺旋跳跃飞车,河南
快码加编,713773365,rurulin01,RuruLin01,卢森堡
米线山永远是你后边忘了,4573127465,面壁者老八,SU-130PM,辽宁
cs,5135641660,造型师_胡德禄,西北的造型师胡德禄,河南
？？？,2251397932,钓德翼,芝士China雪豹,重庆
好似,1069052426,謝小邂,謝小邂,湖南
你太软弱了，居然还认错解释，男生的身体是我们男生自己的，我们想和谁坐唉都是我们的自由，这是男生的星嗳自由，这群粿女有什么资格管我们？,6360678308,hgfcrh,集美底子很好,河南
殺了,3599315259,六道图仙,Snufly💕,四川
好似,6376988446,腻马卖啤,科大下水道鼠鼠,四川
好似啊,465517465,4829341,babyy🎅,湖北
哈哈哈，fw好似,5534629651,鲲鲲p,鲲鲲p,江苏
大头儿子小头爸爸，瓢虫还是四一四吧,4626369828,,［纯爱战士阿利斯塔］,广西
3,919964189,八度0101,无敌宝将军,山东
好似,3532819231,整挺_好,—Melina,广东
3,2384646613,Y23345,Y23345,广西
@梵LOV @不太想吃饭 @九重雪兔 @颜夕i抹茶,920956807,Isusedto,痒痒鼠玩家233,广东
一眼假假的祝你好似，真的更祝你好似,2811759454,吾心不心痛,人类之光阿嗣℃,湖南
咋怎么多自挂东南枝的,4599867277,l废物l,l废物l,湖北
赶紧+3,4405380132,我4ngg,KaNeKi,湖南
3,3938797892,大爱绘梨衣nice,韦一敏*,山东
感觉是编的,1282959475,huutl,慢慢慢慢.,江西
聊天记录时间都不敢发,887768680,浅爱丨一生兮,浅爱丨一生兮,湖南
一眼编，聊天记录时间别裁啊,887768680,浅爱丨一生兮,浅爱丨一生兮,湖南
你也是贱,6547198320,孤独的脚后跟,邦邦啊,江西
活该,1150270406,yuyuaaaiii,yuyuuyuyuy,甘肃
赌被拘只要没多大不是多大问题 黄被拘不上新闻后果也是不堪设想的 想下结局都怕,1544558949,jbjjj11,博物♬,广东
管不住你可以剁了啊 宝宝你不是鼠你是💩,6547198320,孤独的脚后跟,邦邦啊,江西
你怎么有脸来发帖的？鼠鼠可没你这样的鼠辈！,5258694524,随便起的快通过,随便起的名字呢,四川
一眼反🚢,4627768668,纯真少年郎丁真,礼堂碇真♂,江苏
真你nnd活该哎,3458810867,230053zxc,儒雅随和的鬼,四川
编快点,3978296034,q2302377808,答辩超人丨,四川
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，好似,6458274930,睿性abcd,睿性abcd,陕西
好似,2886256151,星宇寻梦人_,杰吸咔,北京
3,5094949703,,贴吧用户_ae8D68R,河北
3,4724611213,,高楼观云海,北京
笑死 你不会是在温州被抓的吧！,1337657327,方浩是我2哥,玛巴洛沙韦,上海
