UID,MID,发布时间,微博内容,微博链接,发布者昵称,发布来源,主页链接,转发数,评论数,点赞数,博主昵称,性别,个人签名,粉丝数,关注数,所属IP地址,微博数,是否认证,头像链接,媒体类型,log10,认证类型
6559702961	,4852957739483543	,2023-01-01 04:32:00,我昨天晚上做了俩个梦，一个是梦到农夫山泉卖到五块，吓死我了还好是梦，另一个怎么是梦，哎,https://weibo.com/6559702961/MmdFHDN6n?refer_flag=1001030103_,顾昕苒vov,iPhone客户端,https://weibo.com/6559702961?refer_flag=1001030103_,0,0,0,顾昕苒vov,女,🦌,224,356,湖北,731,False,"https://tvax3.sinaimg.cn/crop.0.0.828.828.180/0079VQoFly8hjptx2f1prj30n00n0wfc.jpg?KID=imgbed,tva&Expires=1710093302&ssig=QVX%2BN%2BGvCS",nan,nan,无认证
7055311779	,4852942224753124	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,JaSm1nEe_eeee,NULL,https://weibo.com/7055311779?refer_flag=1001030103_,0,0,0,JaSm1nEe_eeee,女,「🥷🏿🐕😾🙀」hi你们好我子别拉黑我。滚圈蜜果儿一枚～🤓🥰-太陽我在這裡-子🩷dohyun🩵🪽,53,3163,其他,3983,False,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/007HtmThly8hcqc8old2gj30u00u0jtf.jpg?KID=imgbed,tva&Expires=1710093303&ssig=yXRgWTDjOU",nan,nan,无认证
6646936123	,4852933956734190	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,小咪护卫,NULL,https://weibo.com/6646936123?refer_flag=1001030103_,0,0,0,小咪护卫,男,猫猫狗狗狂塑,1,368,江苏,559,False,"https://tvax4.sinaimg.cn/crop.0.0.471.471.180/007fPRJ9ly8hgrtvygg9fj30d30d33z8.jpg?KID=imgbed,tva&Expires=1710093304&ssig=0U935bKPXP",nan,nan,无认证
6412840998	,4852927364342200	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,睡在螺蛳粉里的小黄,NULL,https://weibo.com/6412840998?refer_flag=1001030103_,0,0,0,睡在螺蛳粉里的小黄,女,吃了,116,659,辽宁,4503,False,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/006ZZCTkly8ggzxmizyy6j30ro0road5.jpg?KID=imgbed,tva&Expires=1710093304&ssig=pJXlP%2BrzuA",nan,nan,无认证
6089539965	,4852921899161635	,2023-01-01 02:10:00,练科三的时候是7月更热了起的更早了每天早出晚归中午没地方可去将近20来个人人多车少只有两辆车轮换着练每次我在车上两辆车交错行驶的时候我都能看见他笑的样子很开心他烟瘾还蛮大的很多时候都是在抽烟有种错觉每次他都是在看着我笑练科二也是这样我喜欢他笑起来的样子好看刚练的第一天我和同样家不在镇上的朋友一起在车上凑活了一中午我和他吐槽中午好热好多苍蝇也和朋友一起在镇上的小广场的长椅上度过过炎热又无聊的中午他收留过我一次那天吃的板面还有冰的农夫山泉虽然我没吃多少我们三个他请的客去到他家我们俩一起睡的床垫他在左我靠右朋友在床上躺着的那是我整个练车时候中午睡的最舒服的一次后来一起吃过镇上的盖饭就是有点报吃一开始练的时候不敢踩油门害怕但是为了追赶他的步伐也是在自己暗暗的努力不过还好科三不难后来去市里考场那边练车到考试都没什么好值得纪念的事如果有那大概就是一起坐公交去市里回来的路上坐公交过站了又被他捏着笑了好半天还有一次练车的时候我们在一辆车很长时间考试的时候我亲眼看着他考完的就这样再没什么很多时候我也在想为什么喜欢他大概是他笑起来太好看笑到我心里了也大概是喜欢和他聊天觉得很有意思记不清到底为什么了只知道他好好啊像星星一样收起d,https://weibo.com/6089539965/MmcJTCrmj?refer_flag=1001030103_,看似坚强实则被车撞也会死,iPhone客户端,https://weibo.com/6089539965?refer_flag=1001030103_,0,0,0,看似坚强实则被车撞也会死,女,,8,3,其他,39,False,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/006E75wxly8hhmux3g9qmj30e80e80t0.jpg?KID=imgbed,tva&Expires=1710093305&ssig=y6iCUv32%2Bg",nan,nan,无认证
6112126743	,4852921348915245	,2022-12-31 11:00:00,#好水旺财兔年吉祥#崽一直在喝的@农夫山泉出兔年典藏版玻璃水啦！啊啊啊～崽最喜欢兔兔了，这波可千万不能错过！瓶身还是和以往一样模拟下落的水滴，优雅且修长，充满艺术感气息，兔兔的图案也很逼真写实，相信放在家里任何一个地方，都会忍不住多看几眼的哈哈～不跟你们说了，今年的金兔水限量十万套，还是和以往一样只送不卖！！我得赶紧去给崽蹲着......#农夫山泉生肖典藏#收起d,https://weibo.com/1642603883/Mm6Mwp2EW?refer_flag=1001030103_,暴躁吃瓜网友xh,微博  weibo.com,https://weibo.com/6112126743?refer_flag=1001030103_,0,0,0,暴躁吃瓜网友xh,女,吃瓜网友,49,590,湖南 益阳,7237,False,"https://tvax1.sinaimg.cn/crop.0.0.664.664.180/006FDRnply8fypvy3deroj30ig0igabf.jpg?KID=imgbed,tva&Expires=1710093306&ssig=kUx9kphzff",nan,nan,无认证
7056784157	,4852916970326660	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,你亲爱的四舅姥爷,NULL,https://weibo.com/7056784157?refer_flag=1001030103_,0,0,0,你亲爱的四舅姥爷,女,重度粘糯圆爱好者,51,344,山东,3420,False,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/007HzxVjly8gfwlu0gs5lj30ro0rota4.jpg?KID=imgbed,tva&Expires=1710093307&ssig=Nv77h2goXW",nan,nan,无认证
2265735484	,4852916932314297	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,昵称想不出来叫啥,NULL,https://weibo.com/2265735484?refer_flag=1001030103_,0,0,0,昵称想不出来叫啥,男,所以这个世界到底是什么模样呢,239,777,上海 闵行区,1101,False,"https://tvax4.sinaimg.cn/crop.0.3.1242.1242.180/870c613cly8fiv367u4q1j20yi0ypgpi.jpg?KID=imgbed,tva&Expires=1710093308&ssig=yOJbHs%2BquY",nan,nan,无认证
3821899029	,4852914629115942	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,我孙flag先立个旗,NULL,https://weibo.com/3821899029?refer_flag=1001030103_,0,0,0,我孙flag先立个旗,男,实业误国，核酸兴邦♥️,70,70,辽宁,572,False,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/e3cd8d15ly8g8huh4m1zmj20ro0roaay.jpg?KID=imgbed,tva&Expires=1710093308&ssig=Q0lCUdGOdk",nan,nan,无认证
6075804870	,4852913145650420	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,永远不老身体倍棒,NULL,https://weibo.com/6075804870?refer_flag=1001030103_,0,0,0,永远不老身体倍棒,女,爱阳光人士,126,625,河北 石家庄,938,False,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006DbsoKly8h7uo7hrwxvj30u00u0ah7.jpg?KID=imgbed,tva&Expires=1710093309&ssig=H1v1NaXogd",nan,nan,无认证
